Severity,Temperature.F.,Wind_Chill.F.,Humidity...,Pressure.in.,Visibility.mi.,Wind_Direction,Wind_Speed.mph.,Precipitation.in.,Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Time_Of_Day,Month
3,60.1,59.361378743232,86,30.22,10,1,7,0.02,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11
2,80.1,83.3297962741013,45,30.02,10,5,10.4,0,36,0,0,0,0,0,0,0,0,0,0,0,1,0,1,6
2,75.9,78.0299671252707,43,30,10,18,11.5,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
2,77,79.8430199024458,43,29.91,10,20,5.8,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,3,8
2,78.1,81.0614784381686,81,30.01,10,14,6.9,0,28,0,0,1,0,0,0,0,0,0,0,0,1,0,4,9
2,73,73.7330026411102,42,29.82,10,23,20.7,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7
2,58.3605769230769,57.2651146219257,67,28.78,9.84287338893101,2,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11
4,80.1,83.3723832329008,43,30.06,10,5,9.2,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
4,62.6,62.4024707128707,68,30.03,10,16,6.9,0,28,0,0,0,0,1,0,0,0,0,0,0,0,0,2,4
2,71.1,72.4452871686742,87,29.97,10,22,8.1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,4,6
3,37,31.5224349896315,73,30.36,10,1,7,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12
3,77,79.9796436248509,96,30.01,10,5,4.6,0.08,28,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8
2,87.1,91.8403008613919,43,29.92,10,12,5.8,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8
2,68,68.2856802859493,81,29.97,10,23,10.4,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10
2,77,79.7283981993293,32,29.95,10,1,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6
2,79,81.7885614196206,64,30,10,16,15,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11
2,46.9,41.6813916761882,66,29.82,5,17,11.5,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
2,88,92.9850380819962,14,30.03,10,1,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4
3,84,88.163939443282,38,29.91,10,20,6.9,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9
2,75.9,78.5363853425605,48,29.97,10,20,5.8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6
3,78.1,81.3926155519542,66,29.99,10,23,3.5,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8
